nomInstallation,codeEICResourceObject,codeIRIS,codeINSEECommune,commune,codeEPCI,EPCI,codeDepartement,departement,codeRegion,region,codeIRISCommuneImplantation,codeINSEECommuneImplantation,codeS3RENR,dateRaccordement,dateDeraccordement,dateMiseEnService,dateDebutVersion,posteSource,tensionRaccordement,modeRaccordement,codeFiliere,filiere,codeCombustible,combustible,codesCombustiblesSecondaires,combustiblesSecondaires,codeTechnologie,technologie,typeStockage,puisMaxInstallee,puisMaxRacCharge,puisMaxCharge,puisMaxRac,puisMaxInstalleeDisCharge,nbGroupes,nbInstallations,regime,energieStockable,capaciteReservoir,hauteurChute,productible,debitMaximal,codeGestionnaire,gestionnaire,energieAnnuelleGlissanteInjectee,energieAnnuelleGlissanteProduite,energieAnnuelleGlissanteSoutiree,energieAnnuelleGlissanteStockee,maxPuis,dateMiseEnservice (format date),code_commune_INSEE,nom_commune_postal,code_postal,latitude,longitude,code_commune,article,nom_commune,nom_commune_complet,code_departement,nom_departement,code_region,nom_region
Confidentiel,17W000001334169R,2A0400000,2A040,Bocognano,242000503.0,CC Celavu-Prunelli,2A,Corse-du-Sud,94.0,Corse,2A0400000,2A040,,30/10/1997,,30/10/1997,26/01/2024,,HTA,Direct,HYDLQ,Hydraulique,,,,,,,,2100.0,,,,,,1.0,En service,,,,,,23X160203-000021,EDF-SEI,0.0,,0.0,,2100.0,1997-10-30,2A040,BOCOGNANO,20136.0,42.0887432861,9.07100445274,40.0,,Bocognano,Bocognano,2A,Corse-du-Sud,94.0,Corse
Confidentiel,17W000000034544J,2A0660000,2A066,Cargiaca,242000495.0,CC de l'Alta Rocca,2A,Corse-du-Sud,94.0,Corse,2A0660000,2A066,,01/04/2003,,01/04/2003,26/01/2024,,HTA,Direct,HYDLQ,Hydraulique,,,,,,,,3569.0,,,,,,1.0,En service,,,,,,23X160203-000021,EDF-SEI,0.0,,0.0,,3569.0,2003-04-01,2A066,CARGIACA,20164.0,41.7315838648,9.04097819601,66.0,,Cargiaca,Cargiaca,2A,Corse-du-Sud,94.0,Corse
Confidentiel,17W000000434008F,2A0990000,2A099,Cozzano,200038958.0,CC de la Pieve de l'Ornano et du Taravo,2A,Corse-du-Sud,94.0,Corse,2A0990000,2A099,,06/10/2017,,06/10/2017,26/01/2024,,BT,Direct,HYDLQ,Hydraulique,,,,,FIL.E,Fil de l'eau,,53.0,,,,,,1.0,En service,,,,,,23X160203-000021,EDF-SEI,0.0,,0.0,,53.0,2017-10-06,2A099,COZZANO,20148.0,41.9335361782,9.18658901993,99.0,,Cozzano,Cozzano,2A,Corse-du-Sud,94.0,Corse
Confidentiel,17W000001374036M,2A0990000,2A099,Cozzano,200038958.0,CC de la Pieve de l'Ornano et du Taravo,2A,Corse-du-Sud,94.0,Corse,2A0990000,2A099,,03/02/2022,,03/02/2022,26/01/2024,,HTA,Direct,HYDLQ,Hydraulique,,,,,,,,494.0,,,,,,1.0,En service,,,,,,23X160203-000021,EDF-SEI,0.0,,0.0,,494.0,2022-02-03,2A099,COZZANO,20148.0,41.9335361782,9.18658901993,99.0,,Cozzano,Cozzano,2A,Corse-du-Sud,94.0,Corse
Confidentiel,17W0000000371945,2A1280000,2A128,Granace,242010130.0,CC du Sartenais Valinco Taravo,2A,Corse-du-Sud,94.0,Corse,2A1280000,2A128,,23/02/2002,,23/02/2002,26/01/2024,,HTA,Direct,HYDLQ,Hydraulique,,,,,,,,730.0,,,,,,1.0,En service,,,,,,23X160203-000021,EDF-SEI,0.0,,0.0,,730.0,2002-02-23,2A128,GRANACE,20100.0,41.6403012602,9.01221939492,128.0,,Granace,Granace,2A,Corse-du-Sud,94.0,Corse
Confidentiel,17W000000039103O,2A1810000,2A181,Ocana,242000503.0,CC Celavu-Prunelli,2A,Corse-du-Sud,94.0,Corse,2A1810000,2A181,,01/01/1961,,01/01/1961,26/01/2024,,90 kV,Direct,HYDLQ,Hydraulique,,,,,,,,15600.0,,,,,,1.0,En service,,,,,,23X160203-000021,EDF-SEI,0.0,,0.0,,15600.0,1961-01-01,2A181,OCANA,20117.0,41.9503939626,8.909888839,181.0,,Ocana,Ocana,2A,Corse-du-Sud,94.0,Corse
Confidentiel,17W000000033459F,2A1810000,2A181,Ocana,242000503.0,CC Celavu-Prunelli,2A,Corse-du-Sud,94.0,Corse,2A1810000,2A181,,12/09/2016,,12/09/2016,26/01/2024,,HTA,Direct,HYDLQ,Hydraulique,,,,,,,,144.0,,,,,,1.0,En service,,,,,,23X160203-000021,EDF-SEI,0.0,,0.0,,144.0,2016-09-12,2A181,OCANA,20117.0,41.9503939626,8.909888839,181.0,,Ocana,Ocana,2A,Corse-du-Sud,94.0,Corse
Confidentiel,17W000000034089H,2A1810000,2A181,Ocana,242000503.0,CC Celavu-Prunelli,2A,Corse-du-Sud,94.0,Corse,2A1810000,2A181,,01/01/1995,,01/01/1995,26/01/2024,,HTA,Direct,HYDLQ,Hydraulique,,,,,,,,8600.0,,,,,,1.0,En service,,,,,,23X160203-000021,EDF-SEI,0.0,,0.0,,8600.0,1995-01-01,2A181,OCANA,20117.0,41.9503939626,8.909888839,181.0,,Ocana,Ocana,2A,Corse-du-Sud,94.0,Corse
Confidentiel,17W0000000393264,2A1810000,2A181,Ocana,242000503.0,CC Celavu-Prunelli,2A,Corse-du-Sud,94.0,Corse,2A1810000,2A181,,01/01/1965,,01/01/1965,26/01/2024,,90 kV,Direct,HYDLQ,Hydraulique,,,,,,,,15100.0,,,,,,1.0,En service,,,,,,23X160203-000021,EDF-SEI,0.0,,0.0,,15100.0,1965-01-01,2A181,OCANA,20117.0,41.9503939626,8.909888839,181.0,,Ocana,Ocana,2A,Corse-du-Sud,94.0,Corse
Confidentiel,17W000000035911D,2A1860000,2A186,Olivese,200038958.0,CC de la Pieve de l'Ornano et du Taravo,2A,Corse-du-Sud,94.0,Corse,2A1860000,2A186,,09/12/2005,,09/12/2005,26/01/2024,,HTA,Direct,HYDLQ,Hydraulique,,,,,,,,1400.0,,,,,,1.0,En service,,,,,,23X160203-000021,EDF-SEI,0.0,,0.0,,1400.0,2005-12-09,2A186,OLIVESE,20140.0,41.8404362861,9.06885180924,186.0,,Olivese,Olivese,2A,Corse-du-Sud,94.0,Corse
